total_pop,median_income,no_vehicle_hh,hh_total,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
9197,46927,0,2589,36005023900,0.2936917169500823,0.12833270594951676,584,0.11252408477842003,1.0,0.01023581238662866
4575,76250,94,1350,36005024000,0.18626799557032114,0.020908984569755623,609,0.20581277458600877,0.5037037037037037,0.04772937905468026
6473,45425,0,2371,36005024100,0.22366589327146172,0.0583068822708962,862,0.20330188679245284,1.0,0.008205953338696701
5062,29747,2,1994,36005024300,0.30468286899822167,0.13932385799765615,322,0.10218978102189781,0.9989969909729187,0.01624323198667222
2271,58603,39,863,36005024400,0.11243913235945109,-0.05291987864111443,461,0.30368906455862976,0.6361529548088065,0.0
4737,43504,22,1514,36005024501,0.2588135951023855,0.09345458410181998,361,0.11463956811686249,0.9590488771466315,0.010552312528064661
3742,33333,0,1224,36005024502,0.28119130668097664,0.11583229568041112,287,0.11493792551061273,0.9714052287581699,0.01645971700837424
2041,86932,37,791,36005024600,0.140893470790378,-0.024465540210187514,439,0.2886259040105194,0.5701643489254109,0.0041753653444676405
1929,50993,0,753,36005024700,0.1980300673924313,0.032671056391865794,347,0.2654934965570008,0.9893758300132802,0.015168539325842697
3242,64961,95,1137,36005024800,0.10375126732004056,-0.06160774368052496,725,0.2919855014095852,0.7704485488126649,0.005595275101025801
2532,98700,76,934,36005025000,0.07190833662583959,-0.09345067437472593,606,0.3377926421404682,0.48501070663811563,0.00042716787697565144
6601,44845,201,2277,36005025100,0.26986780124601123,0.10450879024544571,821,0.17882814201698977,0.8001756697408872,0.006004543979227524
2525,85192,40,906,36005025200,0.11547911547911548,-0.04987989552145004,607,0.3600237247924081,0.6997792494481236,0.021920210434020166
6014,49906,32,1885,36005025300,0.2121768140116764,0.04681780301111088,409,0.10746190225959013,0.9793103448275862,0.006891548784911135
2002,78500,81,770,36005025400,0.15484515484515485,-0.010513856155410672,406,0.29505813953488375,0.45324675324675323,0.010559662090813094
7275,39231,18,2412,36005025500,0.28587181254307376,0.12051280154250824,217,0.047671353251318105,0.9763681592039801,0.01207416990081932
1541,51053,0,620,36005025600,0.09097035040431267,-0.07438866059625285,237,0.22108208955223882,0.7967741935483871,0.008281573498964804
1725,57241,0,683,36005025700,0.20347826086956522,0.0381192498689997,257,0.21048321048321048,0.9267935578330894,0.01010739102969046
1996,61552,634,1102,36005026100,0.14573643410852713,-0.01962257689203839,916,0.5404129793510325,0.18874773139745918,0.07896077432501274
6904,37361,73,2210,36005026300,0.2577500798977309,0.09239106889716539,764,0.17285067873303167,0.9438914027149321,0.013086150490730643
6076,70463,100,2196,36005026400,0.1272392432613427,-0.03811976773922282,1109,0.27301821762678485,0.6038251366120219,0.0
7240,57900,40,2292,36005026500,0.20762772164508325,0.04226871064451773,644,0.1319672131147541,0.9659685863874345,0.04010329636943643
2943,47778,50,1322,36005026601,0.2650356778797146,0.09967666687914908,395,0.17752808988764046,0.81089258698941,0.0
5273,46069,94,2441,36005026602,0.20348947468234402,0.0381304636817785,643,0.15947420634920634,0.8717738631708316,0.0028044871794871795
3632,49167,0,1264,36005026701,0.22879955947136563,0.0634405484708001,613,0.2800365463682047,0.9746835443037974,0.01710445937690898
7869,65500,0,2694,36005026702,0.2219086711133915,0.05654966011282597,886,0.17372549019607844,0.8652561247216035,0.01354250469294717
3964,27374,30,1823,36005026900,0.3059395801331285,0.14058056913256298,468,0.1566265060240964,0.9204607789358201,0.11587982832618025
7410,54396,124,2925,36005027300,0.24673701749514024,0.08137800649457472,1035,0.19262981574539365,0.8871794871794871,0.020135236664162285
4894,89925,125,1755,36005027401,0.03902738046587658,-0.12633163053468893,1348,0.38100621820237424,0.2245014245014245,0.0032945310784098397
3512,101142,35,1253,36005027402,0.07427701674277017,-0.09108199425779535,1281,0.48339622641509433,0.2833200319233839,0.0
57,-666666666,0,23,36005027600,0.2631578947368421,0.09779888373627657,15,0.4838709677419355,1.0,0.1276595744680851
4091,29939,50,1781,36005027700,0.3229039354681007,0.15754492446753518,716,0.24537354352296092,0.9646266142616507,0.00990894483128013
7635,57129,110,2866,36005027900,0.1626984126984127,-0.002660598302152817,1434,0.2811764705882353,0.7606420097697139,0.0
3490,67917,491,1676,36005028100,0.06841783750763591,-0.0969411734929296,1262,0.42108775442108776,0.45047732696897375,0.0136986301369863
